Adrenergic syndrome	C0274714
Endocarditis	C0014118
Vision Disorders	C0042790
Weight Gain	C0043094
Night Blindness	C0028077
Pituitary Neoplasms	C0032019
Central nervous system depression (disorder)	C0151559
Anxiety	C0003467
Mastodynia	C0024902
Anuria	C0003460
Respiration abnormal	C1260922
Anxiety Disorders	C0003469
Menstruation delayed	C0240322
Thromboplastin decreased	C0151951
Accidental ingestion	C0857807
Myalgia	C0231528
Arthralgia	C0003862
Arteritis	C0003860
Arthritis	C0003864
Arthritis, Gouty	C0003868
Mental Suffering	C0683278
Cumulative Trauma Disorders	C0035127
Rheumatic Fever	C0035436
Disorders of Porphyrin Metabolism	C0032708
Rheumatic Heart Disease	C0035439
Hemorrhage abnormal	C0741553
Acute pyelonephritis	C0520575
Muscle contractions involuntary	C0235086
Hematemesis	C0018926
Glossitis	C0017675
Myositis	C0027121
Early satiety	C0239233
Blood urine present	C0947999
Retrosternal pain	C0151826
Eye pain	C0151827
Biliary Colic	C0151824
Bone pain	C0151825
Accidental overdose	C0151821
Injection site pain	C0151828
Renal Insufficiency	C1565489
Contracture	C0009917
Self-Injurious Behavior	C0085271
Injection site swelling	C0151605
Gingival Hyperplasia	C0017566
Anasarca	C0151603
Conjunctival oedema	C0151601
Nodule	C0028259
Granuloma Annulare	C0085074
Disturbance in sexual arousal	C0855242
Brain Injuries	C0270611
Diabetic peripheral neuropathic pain	C1963916
Extrapyramidal symptoms	C0234133
Brain Concussion	C0006107
Large intestine perforation	C0151738
Increased insulin requirement	C0235409
Accidental injury	C0151736
Intentional injury	C0151737
Injection site inflammation	C0151734
Injection site reaction	C0151735
Simple Partial Seizures	C0234974
Parkinsonian Disorders	C0242422
Right bundle branch block	C0085615
First degree atrioventricular block	C0085614
Ventricular arrhythmia	C0085612
Atrial arrhythmia	C0085611
Sinus bradycardia	C0085610
Oculogyration	C1262064
Sore Throat	C0242429
Orthopnea	C0085619
Electrocardiogram QT corrected interval prolonged	C0855333
Hyperesthesia	C0020453
Hyperglycemia	C0020456
Synovitis	C0039103
Hyperhidrosis disorder	C0020458
Nail Diseases	C0027339
Xerophthalmia	C0043349
Facial Paresis	C0427055
Personality change	C0240735
Aspiration pneumonitis	C1761609
Community acquired pneumonia	C0694549
Pharyngitis	C0031350
Fluid overload	C0546817
Low Cardiac Output	C0007166
Spasm	C0037763
Disseminated Intravascular Coagulation	C0012739
Sudden Cardiac Death	C0085298
Radiation myelopathy	C0270769
Lymphatic Diseases	C0024228
Lymphangitis	C0024225
Enteritis	C0014335
Neurotic Disorders	C0027932
Feeling despair	C0233488
Maculopathy	C0730362
Post-traumatic pain	C1611174
Muscle necrosis	C0235957
Iron deficiency anemia	C0162316
Hemorrhagic colitis	C0151565
Acute sinusitis	C0149512
Acute bronchitis	C0149514
Phlebitis superficial	C0750876
Ovarian Carcinoma	C0029925
Surgical intervention (finding)	C0549433
Daytime sleepiness	C0541854
Hypouricaemia	C0221333
Agranulocytosis	C0001824
Hypothermia, natural	C0020672
Lobular carcinoma in situ of breast	C0279563
Cerebellar Diseases	C0007760
Hypothyroidism	C0020676
Impetigo	C0021099
Ovarian Diseases	C0029928
Plasma calcium decreased	C0858093
Hematocrit decreased	C0744727
Behavior showing increased motor activity	C0474395
Impacted cerumen	C0021092
Glucose increased	C0860803
Hemorrhage of urethra	C0241558
Glucose low	C0860801
Sneezing	C0037383
Snoring	C0037384
Difficulty walking	C0311394
Gastric ulcer	C0038358
Leg edema	C0235886
Thromboembolic event	C0857496
Unresponsive to stimuli	C0857494
Thirst	C0039971
Tardive Dyskinesia	C0686347
Embolus	C1704212
Hyperactive behavior	C0424295
Thrombocytopenic purpura	C0857305
Punctate keratitis	C0259799
Fixed drug eruption	C0221242
Muscle injury	C0410256
Acidosis, Respiratory	C0001127
Renal tubular acidosis	C0001126
Acidosis	C0001122
Uterine Corpus Sarcoma	C0338113
Enlarged clitoris	C0156394
Compulsive Personality Disorder	C1704373
Hemorrhage	C0019080
Status Epilepticus	C0038220
Tooth Injuries	C0242891
Whiplash Injuries	C0043145
Wheezing	C0043144
Infarction	C0021308
Performance status decreased	C0877406
Dysphasia	C0973461
Skin and subcutaneous tissue disorders	C0178298
Pain in testicle	C0039591
Vaginal Hemorrhage	C2979982
Spermatogenesis abnormal	C0520933
Menstruation irregular	C0156404
Blood cortisol decreased	C0852792
Rash erythematous	C0234913
Arm Pain	C0239377
Esophageal motility disorders	C0014858
Rash follicular	C0234916
Abscess	C0000833
Cardiac fibrillation	C0232197
Lack of libido	C2981158
International normalised ratio increased	C0853225
Febrile Neutropenia	C0746883
Melena	C0025222
Cramps of lower extremities	C0023218
Acute myocardial ischemia	C0746731
Headache	C0018681
Gastritis	C0017152
Earache	C0013456
Mental status changes	C0856054
Psoriasis	C0033860
Acneiform Eruptions	C0175167
Lack of drug effect	C0151810
Fluid intake reduced	C0426597
Fluid intake increased	C0426596
Muscle twitch	C0231530
Arterial thrombosis	C0151942
Skin laceration	C0558401
Anemia, Hemolytic	C0002878
Genital hypoaesthesia	C2609096
Rheumatoid Arthritis	C0003873
Arthritis, Psoriatic	C0003872
Throat irritation	C0700184
Anemia	C0002871
Aplastic Anemia	C0002874
Acute exacerbation of chronic bronchitis	C0856695
Prostatomegaly	C0426732
Dyspareunia	C1384606
Juvenile arthritis	C3495559
Circumoral paresthesia	C0151838
Bacterial conjunctivitis	C0009768
Allergic Conjunctivitis	C0009766
Conjunctivitis	C0009763
Paranoid reaction	C0151836
Emotional distress	C0700361
Duodenal Ulcer	C0013295
Glycosuria	C0017979
Lichenoid keratosis	C1274594
Gastrointestinal carcinoma	C0151544
Cataract specified	C0151547
Electroencephalogram abnormal	C0151611
Tongue oedema	C0151610
Electrolyte abnormality	C0151613
Thermal burn	C0701836
Lupus-like syndrome	C0919715
Foot pain	C0016512
Gingivitis	C0017574
Dermatomycoses	C0011630
Dermatomyositis	C0011633
Body odor	C0085595
Chills	C0085593
Brain Neoplasms	C0006118
Night sweats	C0028081
Cerebral Edema	C0006114
Nightmares	C0028084
Pulmonary Histiocytosis X	C1455705
Gravitational oedema	C0235437
Tonic - clonic seizures	C0494475
Blood creatinine increased	C0235431
Injection site hypersensitivity	C0151726
Musculoskeletal Pain	C0026858
Ankle edema (finding)	C0235439
Bulimia	C0006370
Stupor	C0085628
Lipoma	C0023798
Akinesia	C0085623
Sleep Disorders	C0851578
Flank Pain	C0016199
Bronchitis, Chronic	C0008677
Hangover from any Alcohol or Other Drugs substance	C0221100
Hypercholesterolemia	C0020443
Fat embolism (disorder)	C0013928
Lichen Planus	C0023646
Embolism	C0013922
Tremor	C0040822
Conjunctival hyperemia	C1761613
Female sexual dysfunction	C1112442
Male sexual dysfunction	C1112443
Crohn Disease	C0010346
Diabetic peripheral neuropathy	C0740447
Superinfection	C0038826
Painful respiration	C0423729
Cheilitis	C0007971
Blood pressure alteration (finding)	C1268766
Involuntary Movements	C0427086
Pulmonary congestion	C0242073
Actual Impaired Fluid Volume	C2364164
Nitrogen balance negative	C0854100
Opportunistic Infections	C0029118
Serum sickness-like reaction	C0221742
Acute myocardial infarction	C0155626
Nail toxicity	C1167686
Flat affect	C0233471
Affect lability	C0233472
Diabetes mellitus inadequate control	C0860160
Sensation of heaviness	C0581912
Dysphoria	C0233477
Elevated mood	C0233479
Intracranial Hemorrhages	C0151699
Uric acid level increased	C0041981
Palpitations	C0030252
Allergic urticaria	C0149526
Epidermolysis	C0333472
Gastrointestinal symptom	C0426576
Acute cystitis	C0149523
Deglutition Disorders	C0011168
Urethritis	C0041976
Congenital Heart Defects	C0018798
Dependence physiological	C0278080
Chest pain exertional	C0232288
Corneal epithelial staining pattern	C0423232
Punctate epithelial erosion	C0423234
Neuritis	C0027813
Chromatopsia	C0474381
Pancreatitis acute	C0001339
Sluggishness	C0920289
Muscle tightness	C0877322
Hiccup	C0019521
Word finding difficulty (disorder)	C0454643
Lupus Erythematosus, Systemic	C0024141
Erection prolonged	C2242621
Genitourinary chlamydia infection	C0589616
Renal vasculitis	C0152002
Aggressive behavior	C0001807
Necrotizing Arteritis	C0553548
Enteritis ulcerative	C0541936
Edema hands	C0239819
Blood lactate dehydrogenase increased	C0853149
Hand dermatitis	C0239816
Impaired gastric emptying	C0522063
Rhabdomyosarcoma	C0035412
Balanitis	C0004690
Autonomic nervous system imbalance	C0262385
Neuropathy	C0442874
Depression, Bipolar	C0005587
Bipolar Disorder	C0005586
Porphyria Cutanea Tarda	C0162566
Vasodilation	C0042401
Presbyopia	C0033075
Asthma chronic	C0877430
Blood creatine phosphokinase increased	C0853034
Respiratory sighs	C0425481
Parasitic infection	C0747256
Esophageal Stenosis	C0014866
Nail changes	C0234909
Esophageal spasm	C0014863
Esophagitis	C0014868
Peptic Esophagitis	C0014869
Abnormal digestive tract function	C0232459
AGEP	C0863129
Sensation of warmth	C0549386
Feeling of body temperature change	C0549385
Photopsia	C0085635
Sad mood	C3536794
Water Intoxication	C0043049
Acute Generalized Exanthematous Pustulosis	C0877055
Gastroenteritis	C0017160
Vaginal Discharge	C0227791
Performance anxiety	C0458631
Gastroesophageal reflux disease	C0017168
Epicondylitis	C0014488
Blood potassium increased	C0853760
Excessive bronchial secretion	C0235567
Benign Neoplasm	C0086692
Premature Cardiac Complex	C0340464
Nausea	C0027497
Eczema	C0013595
Arrest of spermatogenesis	C0232981
Kidney Diseases	C0022658
Pertussis	C0043167
Kidney Calculi	C0022650
Ovarian Cysts	C0029927
Uterine spasm	C0151998
Uterine fibroids enlarged	C0151996
Hyperventilation	C0020578
Skin hemorrhages	C0852361
Glomerulonephritis	C0017658
Carcinoma of Male Breast	C0238033
Panic Attacks	C0086769
Alkaline phosphatase raised	C0151849
Eye oedema	C0743680
Buccoglossal syndrome	C0151538
Blood urea increased	C0151539
Liver Dysfunction	C0086565
Infusion site reactions (HT)	C2609445
Gastrointestinal perforation	C0151664
Nodal arrhythmia	C0264893
Gamma-glutamyltransferase increased	C0151662
Stuttering	C0038506
Diarrhea	C0011991
Gamma globulins increased	C0151669
Unable to concentrate	C0235198
Encephalopathies	C0085584
Choreoathetosis	C0085583
Essential Hypertension	C0085580
Sedated state	C0235195
Tranquillisation excessive	C0235194
Suicidal tendency	C0235196
Myopathy	C0026848
Muscular Atrophy	C0026846
Anal Fissure	C0016167
Peripheral Neuropathy	C0031117
Rhabdomyolysis	C0035410
Serum creatinine increased	C0700225
Lipids abnormal	C0549634
Constipation	C0009806
Oculogyric crisis	C0085637
Photophobia	C0085636
Agitation	C0085631
Folliculitis	C0016436
Mood swings	C0085633
Indifferent mood	C0085632
Altered visual depth perception	C1096444
Post-Traumatic Stress Disorder	C0038436
Stress	C0038435
PRL increased	C0553731
Hyperlipidemia	C0020473
Prolonged menses	C0425945
Excessive daytime somnolence	C0694563
Has tingling sensation	C2242996
Contusions	C0009938
Urticaria localised	C1261981
Cognition Disorders	C0009241
Dementia	C0497327
Serum potassium decreased	C0595885
Blood glucose decreased	C0595883
Mental Depression	C0011570
Enlargement abdomen	C0392025
Lymphadenitis	C0024205
Pancreatitis haemorrhagic	C0267940
Carcinoma	C0007097
Musculoskeletal chest pain	C0476280
Non-cardiac chest pain	C0476281
Papule	C0332563
Vulvovaginal pruritus	C1112214
Blunted affect	C0233469
Hyposmia	C2364082
Spontaneous abortion	C0000786
Frequent bowel movements	C0239978
Hypopnea syndrome	C2748060
Bone and joint infections	C0851989
Atypical lymphocyte observed	C0427546
Urine flow decreased	C0549418
Social fear	C0424166
Alkaline phosphatase serum increased	C0750857
Albuminuria	C0001925
Exfoliative rash	C1608945
Cushing Syndrome	C0010481
Hepatic cyst	C0267834
Dehydration	C0011175
Cerebral Embolism	C0007780
Transient Ischemic Attack	C0007787
Ileitis	C0020877
Cerebral Infarction	C0007785
Tracheal Diseases	C0040580
Tracheitis	C0040584
Pregnancy test positive	C0240802
Hypotension, Orthostatic	C0020651
Prothrombin time shortened	C0580413
Reticulocytosis	C0206160
International normalised ratio abnormal	C0580417
Miosis disorder	C0026205
Edema of eyelid	C0162285
Radiation Recall Dermatitis	C1720798
Corneal deposits	C0162281
Agoraphobia	C0001818
Peripheral edema	C0085649
Impaired cognition	C0338656
Pigmentation Disorders	C0549567
Steatohepatitis	C2711227
Bacterial prostatitis	C0748023
Pseudolymphoma	C0221269
Serum Sickness	C0036830
Excitation cerebral	C0541947
Hepatic infiltration eosinophilic	C1611157
Cholecystitis	C0008325
Berylliosis	C0005138
Electrocardiogram ST segment	C0429029
Thyrotropin high	C0586553
Breast tenderness	C0262397
Skin Diseases, Bullous	C0085932
Hepatic enzyme increased	C0235996
Ventricular bigeminy	C0262662
Porphyria non-acute	C0853026
Neuralgia	C0027796
Proctitis	C0033246
Dermatitis, Allergic Contact	C0162820
Chest Pain	C0008031
Chest wall pain	C0008035
Creatinine low	C0239150
Low density lipoprotein increased	C0549399
Nasal septum deviation	C0549397
Bladder discomfort	C0549391
Alcohol problem	C0549393
Uterine Cancer	C0153567
Oral fungal infection	C0877048
Melanosis	C0025209
Opiate Addiction	C0524662
Streptococcal Infections	C0038395
Melanoma	C0025202
Marrow hyperplasia	C0005959
Potassium Deficiency	C0032827
Numbness	C0028643
Pneumonia	C0032285
Coinfection	C0275524
Amblyopia	C0002418
Musculoskeletal stiffness	C0948525
Guillain-Barre Syndrome	C0018378
Guilt	C0018379
Onychomycosis	C0040261
Nephritic syndrome	C0268732
Adenocarcinoma of the gastroesophageal junction	C1332166
Asthenic conditions	C0852192
Ear haemorrhage	C0271412
Opioid naive	C1739422
Aggressive reaction	C1457883
Abnormal platelets	C0151854
Gastrointestinal Diseases	C0017178
Bleeding time prolonged	C0151529
Eyelids pruritus	C0849918
Premature Birth	C0151526
Overgrowth bacterial	C0151521
Contact Dermatitis	C0011616
Glucose tolerance decreased	C0151671
Dermatitis, Atopic	C0011615
Rickets	C0035579
Contralateral breast cancer	C1096616
Cardiomegaly	C0018800
Heart failure	C0018801
Congestive heart failure	C0018802
Laryngitis	C0023067
Tachyarrhythmia	C0080203
Granulomatous liver disease	C0860210
Muscle Spasticity	C0026838
Unplanned pregnancy	C0041747
Muscle Rigidity	C0026837
Necrobiosis Lipoidica Diabeticorum	C0392445
Steroid withdrawal syndrome	C0235453
Collagen Diseases	C0009326
Ulcerative Colitis	C0009324
Metastatic malignant neoplasm to brain	C0220650
Taste peculiar	C0235293
Taste bitter	C0235290
Abdominal distress	C0235295
Urolithiasis	C0451641
Gastrointestinal candidiasis	C0343886
Cerebral Vasospasm	C0265110
Sexual Dysfunction	C0549622
Viral upper respiratory tract infection	C0339916
Petechiae	C0031256
Pneumothorax	C0032326
Hyperkalemia	C0020461
Vanishing bile duct syndrome	C1096272
Shoulder Pain	C0037011
Anorexia	C0003123
Anosmia	C0003126
Mycoses	C0026946
Leukemia, Myelocytic, Acute	C0023467
Mycosis Fungoides	C0026948
Tongue paralysis	C0235074
Hyperammonemia	C0220994
Conduction disorder of the heart	C0264886
Squamous cell carcinoma	C0007137
Non-Small Cell Lung Carcinoma	C0007131
Neutropenic infection	C1167779
Ventricular Dysfunction, Left	C0242698
Back distress	C0235706
Stomach Diseases	C0038354
Vitreous floaters	C0016242
Red blood cell disorders	C0221016
Tetany	C0039621
Dysesthesia	C0392699
Personality Disorders	C0031212
Facial muscle spasm	C0278151
Neutropenia	C0027947
Cardiovascular Diseases	C0007222
Administration site reaction	C0851536
Emotional disorder	C0233459
Allergic conditions	C0851444
Ache wrists	C0221785
Glycosylated haemoglobin increased	C0239940
Swelling face	C0151602
Scleroderma	C0011644
Colitis, Ischemic	C0162529
Eosinopenia	C0272195
Temporal Arteritis	C1956391
Abnormal chest sounds	C0159056
Gingival Hemorrhage	C0017565
Dryness of eye	C0314719
Cyst	C0010709
Choking	C0008301
Disturbance in thinking	C0233632
Thought retardation	C0233633
Suicide attempt	C0038663
Suicide	C0038661
Leukocytosis	C0023518
Anger	C0002957
Hypotension	C0020649
Hyperkeratosis	C0870082
Feeling abnormal	C1443060
Difficulty focusing eyes	C0541881
Joint stiffness	C0162298
Respiratory arrest	C0162297
Radius Fractures	C0034628
Hallucinogen Persisting Perception Disorder	C0236720
Chorioretinitis	C0008513
Catatonic reaction	C3251821
Oral infection	C0555971
Anisocytosis	C0221278
Body height decreased	C2732728
Enuresis	C0014394
Accommodation disorder	C0152198
Bronchospasm, Exercise-Induced	C0015263
Partial pressure CO2 result	C0391839
Hand pain	C0239833
Intoxication	C0728899
Feeling suicidal (finding)	C0424000
Nephrotic Syndrome, Minimal Change	C1704321
Herpes Simplex Infections	C0019348
Purpura, Thrombocytopenic, Idiopathic	C0043117
Vasovagal syncope	C0042420
Herpes	C0019340
Menopause	C0025320
Menorrhagia	C0025323
Reversible ischemic neurologic deficit (R.I.N.D.) syndrome	C0553690
Viral diarrhoea	C0152517
Atrial Fibrillation	C0004238
Atrial Flutter	C0004239
Induration	C0332534
Cerebral Thrombosis	C0079102
Blood thyroid stimulating hormone increased	C0853019
Infertility	C0021359
Candida albicans infection	C0276680
Alkalosis, Respiratory	C0002064
Alkalosis	C0002063
Proximal myopathy	C0410198
Dermatitis, Phototoxic	C0162830
Potassium increased	C0856882
Sudden death, cause unknown	C0520806
Hyperpigmentation	C0162834
Necrosis	C0027540
Retrograde ejaculation	C0403673
Antibiotic-Associated Colitis	C0085819
Knee pain	C0231749
Edema	C0013604
Glucose tolerance abnormal	C0235401
Cold sweat	C0232431
Eyelid exfoliation	C1609496
Drug Interactions	C0687133
Metabolic Bone Disorder	C0005944
Facial paralysis	C0015469
NEVUS, EPIDERMAL (disorder)	C0334082
Bone Diseases	C0005940
Tachycardia, Ventricular	C0042514
Ankle Fractures	C0159877
Injection site induration	C0521509
Oropharyngeal swelling	C0853908
Ventricular Fibrillation	C0042510
Aspiration Pneumonia	C0032290
Feels hot	C2939147
Iridocyclitis	C0022073
Soft stool (finding)	C0577115
Erysipelas	C0014733
Dysuria	C0013428
Paranoia	C1456784
Paralysed	C0522224
Anaphylaxis	C0002792
Withdrawal Symptoms	C0087169
Wound Infection	C0043241
Arthropod bite	C0853348
Autoimmune hemolytic anemia	C0002880
Rectal tenesmus	C0232726
Hypochromic anemia	C0002884
Anemia, Megaloblastic	C0002888
Addisonian crisis	C0151467
Breast abscess	C0151463
Menometrorrhagia	C0232943
Cardiomyopathies	C0878544
Irritable Bowel Syndrome	C0022104
Carcinoid Tumor	C0007095
Irritable Mood	C0022107
Hematuria	C0018965
Dermatillomania	C1696701
Cholesterol serum elevated	C0595929
Mastitis	C0024894
Kidney Failure, Chronic	C0022661
Nervousness	C0027769
Cerebral Angiitis	C0238051
Alteration in patterns of urinary elimination	C0231365
Nervous system disorder	C0027765
Adrenal cortex atrophy	C0151510
Atrophy of breast	C0151511
Ear pruritus	C0849907
Complete atrioventricular block	C0151517
Atrophic condition of skin	C0151514
Drooling	C0013132
Cataract	C0086543
Hyporeflexia	C0151888
Hyperreflexia	C0151889
Exfoliative dermatitis	C0011606
Dermatitis	C0011603
Mental handicap	C1306341
Purpuric rash	C0151882
Vesiculobullous rash	C0151883
Drug Eruptions	C0011609
Hypoventilation	C3203358
Orthostatic hypertension	C0544618
Malignant neoplasm of pancreas	C0346647
Cerebral Arteriosclerosis	C0877854
Myocardial rupture	C0018813
Malignant neoplasm of breast	C0006142
Drug-Induced Liver Injury	C0860207
Colitis	C0009319
Breast Feeding	C0006147
Breast Diseases	C0006145
Muscle hypotonia	C0026827
Muscle Hypertonia	C0026826
Muscle Cramp	C0026821
Latent tetany	C0948266
Visual Impairment	C3665347
Medication residue	C1096282
Gynecomastia	C0018418
Ototoxicity	C0235280
Presyncope	C0700200
Mastitis acute female	C0235667
Drug fever	C1320835
Galactorrhea not associated with childbirth	C0235660
Oropharyngeal candidiasis	C0919659
Malignant syndrome	C0948281
Vulvovaginitis	C0042998
Buffalo hump	C0520573
Generalized Anxiety Disorder	C0270549
Cartilage Diseases	C0007302
Dyslexia	C0476254
Respiratory Depression	C0235063
Scotoma, Scintillating	C0235068
Noninfiltrating Intraductal Carcinoma	C0007124
Sepsis	C0243026
Chest discomfort	C0235710
Depersonalization	C0011551
Hyperemia	C0020452
Cytopenia	C0010828
Nephritis, Tubulointerstitial	C0041349
Central Serous Chorioretinopathy	C0730328
Secondary hypertension	C0155616
Oral Hemorrhage	C0029163
Disturbance in attention	C0233414
Hydrocephalus	C0020255
Pulse irregular	C0392684
Erection increased	C0541941
Acute psychosis	C0281774
Acute glaucoma	C0281773
Bruxism	C0006325
Methemoglobinemia	C0025637
Sensation of foreign body	C0423602
Generalized seizures	C0234533
Seizures, Clonic	C0234535
Jaundice hepatocellular	C1262535
Sialorrhea	C0037036
Haemoglobin decreased	C0162119
Phobic anxiety disorder	C0349231
Blood cholesterol increased	C0595930
Lymphopenia	C0024312
Acute retention of urine	C0341742
Hypoproteinemia	C0020639
Mixed liver injury	C1735647
Ejaculation delayed	C0234047
Shock, Cardiogenic	C0036980
Scotoma	C0036454
Skin cold clammy	C0235848
Choroiditis	C0008526
Rage	C0034634
Clostridium difficile colitis	C0238106
Chemical conjunctivitis	C0149866
Endometrial Carcinoma	C0476089
Ocular hyperemia	C0155169
Speech impairment	C0233715
Macular rash	C0221201
Pressure of speech	C0233718
Electrocardiogram abnormal	C0522055
Abnormal coordination	C0520966
Pain localised	C0520962
Prothrombin level decreased	C0553732
Hypertensive (finding)	C0857121
Excoriation	C0015256
Adrenal Gland Hyperfunction	C0001622
Carbohydrate craving	C0522058
Exfoliative conditions	C0851710
Somnolence	C2830004
Corneal Ulcer	C0010043
Alcohol withdrawal syndrome	C0236663
Bacterial Vaginosis	C0085166
Foot fracture	C0272774
Erythema facial	C0239488
Stomach ache	C0221512
Hypoplastic anemia	C0178416
Anhedonia	C0178417
Fatigue	C0015672
Gastrointestinal cramps	C0877664
Sense of smell altered	C1510410
Pain in urethra	C0151830
Gastrointestinal obstruction	C0236124
Coordination disturbance	C0858589
Plasma osmolality decreased	C0549376
Lumbar disc lesion	C0549374
Dysequilibrium	C0281825
Urologic Diseases	C0042075
Eyelid margin crusting	C0948294
Complications of Diabetes Mellitus	C0342257
Eructation	C0014724
Dyskinetic syndrome	C0013384
Polymenorrhea	C0032519
Schizophrenic reaction	C0151898
Blood osmolarity decreased	C0853755
Fetal Alcohol Syndrome	C0015923
Fetal Death	C0015927
Infective cystitis	C0600041
Oral Ulcer	C0149745
Suprapubic pain	C0241310
Rhinitis, Atrophic	C0035459
Wounds and Injuries	C0043251
Injury wounds	C0043250
Cerebral Ischemia	C0917798
Hypersomnia	C0917799
Transfusion Reaction	C0274435
Kidney Failure, Acute	C0022660
Kidney Neoplasm	C0022665
Mouth injury	C0272426
Glaucoma	C0017601
Angle Closure Glaucoma	C0017605
Ischemia	C0022116
Obesity	C0028754
Prothrombin level increased	C0151872
Electrocardiogram QT prolonged	C0151878
Application site reaction	C0151505
Disability	C0231170
Anticholinergic Syndrome	C0151500
Drowsiness	C0013144
Chronic pain	C0150055
Drug abuse	C0013146
Corneal epithelium defect	C0854114
Syndrome screaming	C0151899
Connective Tissue Diseases	C0009782
Multiple Myeloma	C0026764
Multiple Organ Failure	C0026766
Breast swelling	C0006152
Multiple Sclerosis	C0026769
Amylase increased	C0151479
Neurotransmitter level altered	C0151478
Pain in buttock	C0231710
Hypercholesterolemia result	C1522133
Lung Diseases, Obstructive	C0600260
Postmenopausal haemorrhage	C0032776
Alcohol intolerance	C0151474
Hormone level abnormal	C0151477
Compartment syndromes	C0009492
White blood cell count increased (lab result)	C0750426
Sleeplessness	C0917801
Peripheral ischaemia	C0235490
Simple Pulmonary Eosinophilia	C0242459
Respiration Disorders	C0035204
Edema of foot (finding)	C0574002
Ear discomfort	C0948296
Gastrointestinal discomfort	C1096250
Pyuria	C0034359
Drug seeking behavior	C0694536
Nitrogen, non-protein, increased level result	C0028173
Electrocardiogram QRS complex prolonged	C0235475
Unconscious State	C0041657
Mood Disorders	C0525045
Reversible cerebral vasoconstriction syndrome	C3544214
Mydriasis	C0026961
Visual acuity reduced	C0234632
Atonic seizures	C0270846
CNS disorder	C0007682
Coronary artery insufficiency	C0542052
House dust allergy	C0339807
Allergic sinusitis	C0748726
Absence of sensation	C0278134
Diabetic foot infection	C0744130
Acne	C0702166
Ischaemic neuropathy	C0238309
Azotemia	C0242528
Respiratory distress	C0476273
Keratopathy	C0235270
Exhaustion	C0392674
Hyperpyrexia	C0392676
Orgasmic sensation decreased	C0948856
Pain in lower limb	C0023222
Libido disorder	C0854382
Genital hemorrhage	C0854381
Hypertensive disease	C0020538
Anxiety depression	C0338908
Otitis media acute	C0271429
Malignant neoplasm of female breast	C0235653
Intraocular pressure increased	C0234708
Procedural pain	C1619712
Sialadenitis	C0037023
Forgetfulness	C0542476
Autonomic nervous system disorders	C1145628
Cutaneous hypersensitivity	C0585186
Decreased Libido	C0011124
Reaction gastrointestinal	C0542184
Acute depression	C1386135
Serum calcium increased	C0595928
Hyponatremia	C0020625
Hypomenorrhea	C0020624
Hypokalemia	C0020621
Hypohidrosis	C0020620
Leukoplakia, Oral	C0023532
Leukorrhea	C0023533
Leukopenia	C0023530
Gingival infection	C0744403
Atelectasis	C0004144
Aspartate aminotransferase increased	C0151904
Genital pain	C0239725
Depression aggravated	C0235876
Foreign body sensation in eyes	C0920171
Disease Exacerbation	C0235874
Distress gastrointestinal	C0548823
Rales	C0034642
Macular degeneration	C0024437
Hallucinations, Tactile	C0233767
Hallucinations, Auditory	C0233762
Hallucinations, Visual	C0233763
Joint sprain	C0434437
Creatine increased	C0860942
Sweating decreased	C0553721
Pyoderma	C0034212
Stereotypic Movement Disorder	C0038273
Bladder pain	C0232849
Herpes zoster disease	C0019360
Atrial Premature Complexes	C0033036
Herpes Zoster Ophthalmicus	C0019364
Disorder of eye	C0015397
Premature Ejaculation	C0033038
Uremia	C0041948
Eye Abnormalities	C0015393
Multi-infarct dementia	C0011263
Tooth infection	C0877046
Fasting	C0015663
Hepatitis acute	C0267797
Epididymitis	C0014534
Local swelling	C0853619
Prostatitis	C0033581
Transformed migraine	C1960870
Femoral Neck Fractures	C0015806
Attention deficit hyperactivity disorder	C1263846
Erythema of eyelid	C0239454
Retinal Detachment	C0035305
Ischial neuralgia	C0549346
Lacrimal Apparatus Diseases	C0022904
Lacrimal Duct Obstruction	C0022906
Gastrointestinal ulcer	C0237938
Loss of appetite (finding)	C1971624
Sympathomimetic Effect	C0877014
Urogenital Abnormalities	C0042063
Menarche	C0025274
Excessive tearing	C0152227
Pain in esophagus (finding)	C0221727
Cholangitis	C0008311
Oligospermia	C0028960
Oliguria	C0028961
Articulation Disorders	C0003910
Unspecified Abortion	C0156543
Dyspepsia	C0013395
Dysmenorrhea	C0013390
Unspecified visual loss	C3665346
Nosocomial pneumonia	C0949083
Swollen tongue	C0236068
Anaphylactic responses	C0947858
Thrombocytosis	C0836924
Polyuria	C0032617
Ventricular Septal Defects	C0018818
Vein engorged (finding)	C1959622
Musculoskeletal discomfort	C0948594
Ocular discomfort	C0948595
Hematoma	C0018944
Hematoma, Subdural	C0018946
Thyroid Nodule	C0040137
Nephritis, Interstitial	C0027707
Obsessive-Compulsive Disorder	C0028768
Coronary artery disease aggravated	C0856171
Venoocclusive disease	C0948441
Chromosomal mutation	C0948447
Muscle damage	C0410158
Lupus Erythematosus, Discoid	C0024138
Pneumonia due to Klebsiella pneumoniae	C0519030
Dyspnea	C0013404
Sensory neuropathy	C0151313
Neck stiffness	C0151315
Instillation site irritation	C1096668
Periodontal Abscess	C0031085
Diseases of mitral valve	C0026265
Fracture	C0016658
Obsessive compulsive behavior	C0600104
Bladder dysfunction	C0232841
Sexually Transmitted Diseases	C0036916
Bedwetting	C0270327
Laryngeal Diseases	C0023051
Heartburn	C0018834
